ref|NC_045512.2|	0	NC_045512	100.000	29903	0	0	1	29903	1	29903	0.0	57494
gb|MN908947.3|	0	MN908947	100.000	29903	0	0	1	29903	1	29903	0.0	57494
gb|MT121215.1|	0	MT121215	99.993	29903	2	0	1	29903	1	29903	0.0	57483
gb|MT019531.1|	0	MT019531	99.997	29899	1	0	1	29899	1	29899	0.0	57481
dbj|LC529905.1|	0	LC529905	99.990	29903	3	0	1	29903	1	29903	0.0	57477
gb|MT135044.1|	0	MT135044	99.987	29903	4	0	1	29903	1	29903	0.0	57471
gb|MT135042.1|	0	MT135042	99.987	29903	4	0	1	29903	1	29903	0.0	57471
gb|MT135041.1|	0	MT135041	99.987	29903	4	0	1	29903	1	29903	0.0	57471
gb|MN996528.1|	0	MN996528	100.000	29891	0	0	1	29891	1	29891	0.0	57471
gb|MT019529.1|	0	MT019529	99.990	29899	3	0	1	29899	1	29899	0.0	57469
gb|MT019532.1|	0	MT019532	100.000	29890	0	0	1	29890	1	29890	0.0	57469
gb|MT192772.1|	0	MT192772	99.997	29891	1	0	1	29891	1	29891	0.0	57465
gb|MT135043.1|	0	MT135043	99.983	29903	5	0	1	29903	1	29903	0.0	57465
gb|MT049951.1|	0	MT049951	99.983	29903	5	0	1	29903	1	29903	0.0	57465
gb|MT163719.1|	0	MT163719	99.980	29903	6	0	1	29903	1	29903	0.0	57460
gb|MT159721.1|	0	MT159721	100.000	29882	0	0	1	29882	1	29882	0.0	57454
gb|MT159719.1|	0	MT159719	100.000	29882	0	0	1	29882	1	29882	0.0	57454
gb|MT159714.1|	0	MT159714	100.000	29882	0	0	1	29882	1	29882	0.0	57454
gb|MT159713.1|	0	MT159713	100.000	29882	0	0	1	29882	1	29882	0.0	57454
gb|MT159711.1|	0	MT159711	100.000	29882	0	0	1	29882	1	29882	0.0	57454
gb|MT159710.1|	0	MT159710	100.000	29882	0	0	1	29882	1	29882	0.0	57454
gb|MN988668.1|	0	MN988668	100.000	29881	0	0	2	29882	1	29881	0.0	57452
gb|MN988669.1|	0	MN988669	100.000	29881	0	0	2	29882	1	29881	0.0	57452
gb|MT163718.1|	0	MT163718	99.980	29897	6	0	7	29903	7	29903	0.0	57450
gb|MT019533.1|	0	MT019533	99.997	29883	1	0	1	29883	1	29883	0.0	57450
gb|MT159715.1|	0	MT159715	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MT159709.1|	0	MT159709	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MT159708.1|	0	MT159708	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MT159707.1|	0	MT159707	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MT159706.1|	0	MT159706	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MT106053.1|	0	MT106053	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MT118835.1|	0	MT118835	99.997	29882	1	0	1	29882	1	29882	0.0	57448
gb|MN994468.1|	0	MN994468	99.993	29883	2	0	1	29883	1	29883	0.0	57444
gb|MT159722.1|	0	MT159722	99.993	29882	2	0	1	29882	1	29882	0.0	57442
gb|MT159718.1|	0	MT159718	99.993	29882	2	0	1	29882	1	29882	0.0	57442
gb|MT159717.1|	0	MT159717	99.993	29882	2	0	1	29882	1	29882	0.0	57442
gb|MN975262.1|	0	MN975262	99.983	29891	5	0	1	29891	1	29891	0.0	57442
gb|MT027064.1|	0	MT027064	99.993	29882	2	0	1	29882	1	29882	0.0	57442
gb|MT039890.1|	0	MT039890	99.970	29903	9	0	1	29903	1	29903	0.0	57442
gb|MT163717.1|	0	MT163717	99.973	29897	8	0	7	29903	1	29897	0.0	57437
gb|MT159720.1|	0	MT159720	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT159712.1|	0	MT159712	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT159705.1|	0	MT159705	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT123290.1|	0	MT123290	99.993	29879	2	0	5	29883	8	29886	0.0	57437
gb|MN985325.1|	0	MN985325	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT020880.1|	0	MT020880	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT020881.1|	0	MT020881	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT027062.1|	0	MT027062	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT027063.1|	0	MT027063	99.990	29882	3	0	1	29882	1	29882	0.0	57437
gb|MT019530.1|	0	MT019530	99.980	29889	6	0	1	29889	1	29889	0.0	57433
gb|MT123291.2|	0	MT123291	99.987	29882	4	0	4	29885	1	29882	0.0	57431
gb|MN997409.1|	0	MN997409	99.987	29882	4	0	1	29882	1	29882	0.0	57431
gb|MT106052.1|	0	MT106052	99.987	29882	4	0	1	29882	1	29882	0.0	57431
emb|LR757996.1|	0	LR757996	100.000	29868	0	0	21	29888	1	29868	0.0	57427
gb|MT039888.1|	0	MT039888	99.983	29882	5	0	1	29882	1	29882	0.0	57427
gb|MT163716.1|	0	MT163716	99.960	29902	12	0	2	29903	2	29903	0.0	57423
gb|MN988713.1|	0	MN988713	99.973	29882	8	0	1	29882	1	29882	0.0	57423
